Run,BlockNum,BlockType,NumFear,NumHappy,Context,TotalNegative,TotalPositive,TotalTrials,NegInNeg,PosInNeg,NegInPos,PosInPos,NumFearFemale,NumHappyFemale,NumFearMale,NumHappyMale,SumFear,SumHuppy,Total
1,1,1,1,3,Negative,1,3,4,1,3,0,0,1,1,0,2,1,3,4
1,2,2,2,2,Negative,3,5,8,3,5,0,0,1,1,1,1,2,2,4
1,3,3,3,1,Negative,6,6,12,6,6,0,0,1,0,2,1,3,1,4
1,4,1,1,3,Positive,7,9,16,6,6,1,3,1,1,0,2,1,3,4
1,5,2,2,2,Positive,9,11,20,6,6,3,5,1,1,1,1,2,2,4
1,6,3,3,1,Positive,12,12,24,6,6,6,6,1,0,2,1,3,1,4
1,7,1,1,3,Negative,13,15,28,7,9,6,6,0,3,1,0,1,3,4
1,8,2,2,2,Negative,15,17,32,9,11,6,6,1,1,1,1,2,2,4
1,9,3,3,1,Positive,18,18,36,9,11,9,7,1,0,2,1,3,1,4
1,10,2,2,2,Positive,20,20,40,9,11,11,9,1,1,1,1,2,2,4
2,1,1,1,3,Negative,1,3,4,1,3,0,0,0,2,1,1,1,3,4
2,2,2,2,2,Negative,3,5,8,3,5,0,0,1,1,1,1,2,2,4
2,3,3,3,1,Negative,6,6,12,6,6,0,0,2,1,1,0,3,1,4
2,4,1,1,3,Positive,7,9,16,6,6,1,3,0,2,1,1,1,3,4
2,5,2,2,2,Positive,9,11,20,6,6,3,5,1,1,1,1,2,2,4
2,6,3,3,1,Positive,12,12,24,6,6,6,6,2,0,1,1,3,1,4
2,7,1,1,3,Positive,13,15,28,6,6,7,9,0,0,1,3,1,3,4
2,8,2,2,2,Negative,15,17,32,8,8,7,9,1,1,1,1,2,2,4
2,9,3,3,1,Negative,18,18,36,11,9,7,9,1,0,2,1,3,1,4
2,10,2,2,2,Positive,20,20,40,11,9,9,11,1,1,1,1,2,2,4
